Età,TotaleMaschi,TotaleFemmine,MaschiFemmine
0,21705,20415,42120
1,22501,21826,44327
2,24471,23079,47550
3,24944,23960,48904
4,26180,24440,50620
5,26582,25064,51646
6,27884,26589,54473
7,28130,26669,54799
8,28693,27169,55862
9,28980,27002,55982
10,28817,27646,56463
11,29329,27330,56659
12,28869,27278,56147
13,28016,26315,54331
14,28197,26450,54647
15,27732,26352,54084
16,27442,25682,53124
17,27560,25849,53409
18,28256,26054,54310
19,28089,25619,53708
20,29146,26009,55155
21,28893,26026,54919
22,29378,26287,55665
23,29866,26520,56386
24,29779,27186,56965
25,29987,28083,58070
26,31438,29453,60891
27,31017,29499,60516
28,32114,30563,62677
29,32041,30819,62860
30,33094,32211,65305
31,32650,32450,65100
32,33017,32548,65565
33,34384,34273,68657
34,35546,35305,70851
35,36480,35925,72405
36,37622,37653,75275
37,37714,38483,76197
38,38743,39294,78037
39,39696,40544,80240
40,41739,42741,84480
41,42692,43620,86312
42,43914,45704,89618
43,46123,48066,94189
44,47802,50294,98096
45,47691,49986,97677
46,48041,50877,98918
47,47849,50830,98679
48,48025,50627,98652
49,48395,51643,100038
50,47676,51209,98885
51,47432,51435,98867
52,48145,50879,99024
53,47972,50852,98824
54,48399,51820,100219
55,45119,48747,93866
56,43149,46662,89811
57,41811,45483,87294
58,39818,43653,83471
59,38415,42481,80896
60,36599,40810,77409
61,35948,39939,75887
62,35093,38793,73886
63,34235,38137,72372
64,33259,37622,70881
65,31293,35395,66688
66,30372,34396,64768
67,29789,34048,63837
68,30463,34806,65269
69,30204,34611,64815
70,31408,36625,68033
71,31076,35903,66979
72,29505,35307,64812
73,22651,27717,50368
74,22624,27535,50159
75,22953,29009,51962
76,21943,27794,49737
77,21740,27743,49483
78,23087,30440,53527
79,21895,28927,50822
80,20208,27514,47722
81,17947,25083,43030
82,15900,22973,38873
83,15264,22458,37722
84,13389,20974,34363
85,11758,18941,30699
86,10051,17064,27115
87,9108,15839,24947
88,8024,15279,23303
89,6306,12131,18437
90,4876,10489,15365
91,3830,8985,12815
92,3013,7512,10525
93,2204,5826,8030
94,1700,4691,6391
95,1205,3730,4935
96,855,2703,3558
97,576,2062,2638
98,417,1451,1868
99,176,656,832